Id;Label;timeset;0;1;giantcomponent
180;Maple syrup urine disease;;disease;Metabolic;0
199;Adenocarcinoma;;disease;Cancer;0
203;Wilms tumor;;disease;Cancer;0
235;Platelet defect/deficiency;;disease;Hematological;0
237;Myelogenous leukemia;;disease;Cancer;0
248;Endometrial carcinoma;;disease;Cancer;0
277;Osteopetrosis;;disease;Bone;0
280;HIV;;disease;Immunological;0
290;Osteoarthritis;;disease;Connective tissue disorder;0
314;Lung cancer;;disease;Cancer;0
340;Glaucoma;;disease;Ophthamological;0
369;Lissencephaly;;disease;Neurological;0
401;Keratosis palmoplantaria striata;;disease;Dermatological;0
419;Dejerine-Sottas disease;;disease;Multiple;0
423;Neutropenia;;disease;Hematological;0
429;Elliptocytosis;;disease;Hematological;0
441;Anterior segment anomalies and cataract;;disease;Ophthamological;0
447;Thrombocytopenia;;disease;Hematological;0
474;Bladder cancer;;disease;Cancer;0
497;Rhabdomyosarcoma;;disease;Cancer;0
570;Autism;;disease;Psychiatric;0
602;Huntington disease;;disease;Neurological;0
782;Waardenburg syndrome;;disease;Multiple;0
790;Meningioma;;disease;Cancer;0
851;Retinal cone dsytrophy;;disease;Ophthamological;0
938;Basal cell carcinoma;;disease;Cancer;0
968;Esophageal cancer;;disease;Cancer;0
43;Fundus albipunctatus;;disease;Ophthamological;0
78;Tetralogy of Fallot;;disease;Cardiovascular;0
79;Preeclampsia;;disease;Cardiovascular;0
101;Ichthyosiform erythroderma;;disease;Dermatological;0
113;Adenomas;;disease;Cancer;0
118;Turcot syndrome;;disease;Cancer;0
132;Squamous cell carcinoma;;disease;Cancer;0
165;Cutis laxa;;disease;Connective tissue disorder;0
177;Hypercholanemia;;disease;Gastrointestinal;0
189;Obsessive-compulsive disorder;;disease;Psychiatric;0
201;Nonsmall cell lung cancer;;disease;Cancer;0
216;Hypokalemic periodic paralysis;;disease;Renal;0
226;Ventricular tachycardia;;disease;Cardiovascular;0
227;Hyperparathyroidism;;disease;Endocrine;0
270;Nicotine addiction;;disease;Psychiatric;0
282;Achromatopsia;;disease;Ophthamological;0
292;Stickler syndrome;;disease;Multiple;0
328;Atrioventricular block;;disease;Cardiovascular;0
402;Arrhythmogenic right ventricular dysplasia;;disease;Cardiovascular;0
464;Walker-Warburg syndrome;;disease;Multiple;0
467;Dysfibrinogenemia;;disease;Hematological;0
527;Myoclonic epilepsy;;disease;Neurological;0
560;Erythrokeratoderma;;disease;Dermatological;0
574;Pituitary ACTH-secreting adenoma;;disease;Cancer;0
671;Myelodysplastic syndrome;;disease;Muscular;0
703;Epidermolytic hyperkeratosis;;disease;Dermatological;0
742;Lipoma;;disease;Cancer;0
744;Exudative vitreoretinopathy;;disease;Ophthamological;0
795;Neurofibromatosis;;disease;Cancer;0
796;Cleft palate;;disease;Developmental;0
856;Albinism;;disease;Dermatological;0
880;Pyruvate dehydrogenase deciency;;disease;Metabolic;0
919;Insulin resistance;;disease;Metabolic;0
953;Omenn syndrome;;disease;Immunological;0
984;Paragangliomas;;disease;Cancer;0
985;Pheochromocytoma;;disease;Cancer;0
36;Cerebral amyloid angiopathy;;disease;Neurological;0
38;HDL cholesterol level QTL;;disease;Metabolic;0
46;Stargardt disease;;disease;Ophthamological;0
100;Stroke;;disease;Cardiovascular;0
126;Abetalipoproteinemia;;disease;Metabolic;0
128;Hyperlipoproteinemia;;disease;Metabolic;0
131;Urolithiasise;;disease;Metabolic;0
154;Ataxia-telangiectasia;;disease;Immunological;0
156;T-cell lymphoblastic leukemia;;disease;Cancer;0
181;von Hippel-Lindau syndrome;;disease;Cancer;0
191;Cowden disease;;disease;Cancer;0
192;Polyposis;;disease;Cancer;0
209;Combined immunodeficiency;;disease;Immunological;0
210;Cerebellar ataxia;;disease;Neurological;0
211;Episodic ataxia;;disease;Neurological;0
217;Malignant hyperthermia susceptibility;;disease;Neurological;0
238;Homocystinuria;;disease;Metabolic;0
272;Myotonia congenita;;disease;Muscular;0
286;Osteogenesis imperfecta;;disease;Bone;0
287;Marfan syndrome;;disease;Connective tissue disorder;0
307;Intervertebral disc disease;;disease;Neurological;0
322;CPT deficiency, hepatic;;disease;Metabolic;0
323;Rubenstein-Taybi syndrome;;disease;Multiple;0
331;Graves disease;;disease;Endocrine;0
341;Peters anomaly;;disease;Developmental;0
370;Subcortical laminar heterotopia;;disease;Neurological;0
385;Becker muscular dystrophy;;disease;Muscular;0
408;Atelosteogenesis;;disease;Connective tissue disorder;0
417;Waardenburg-Shah syndrome;;disease;Multiple;0
426;Emery-Dreifuss muscular dystrophy;;disease;Muscular;0
446;Hemorrhagic diathesis;;disease;Hematological;0
454;Ectopia;;disease;Ophthamological;0
457;Weill-Marchesani syndrome;;disease;Connective tissue disorder;0
463;Viral infection;;disease;Immunological;0
466;Afibrinogenemia;;disease;Hematological;0
470;Jackson-Weiss syndrome;;disease;Skeletal;0
471;Kallmann syndrome;;disease;Multiple;0
472;Pfeiffer syndrome;;disease;Skeletal;0
476;Crouzon syndrome;;disease;Skeletal;0
483;Craniosynostosis;;disease;Skeletal;0
484;Saethre-Chotzen syndrome;;disease;Developmental;0
485;Cancer susceptibility;;disease;Cancer;0
491;Iridogoniodysgenesis;;disease;Ophthamological;0
493;Rieger syndrome;;disease;Multiple;0
526;Insomnia;;disease;Psychiatric;0
545;Alexander disease;;disease;Multiple;0
550;Growth hormone;;disease;Endocrine;0
559;Vohwinkel syndrome;;disease;Multiple;0
575;Acromegaly;;disease;Endocrine;0
616;Creutzfeldt-Jakob disease;;disease;Neurological;0
681;Polycythemia;;disease;Hematological;0
682;Thrombocythemia;;disease;Hematological;0
685;Jervell and Lange-Nielsen syndrome;;disease;Multiple;0
691;Gastrointestinal stromal tumor;;disease;Cancer;0
692;Germ cell tumor;;disease;Cancer;0
765;Angelman syndrome;;disease;Developmental;0
767;Rett syndrome;;disease;Neurological;0
772;Multiple endocrine neoplasia;;disease;Cancer;0
773;Parathyroid adenoma;;disease;Cancer;0
779;Multiple sclerosis;;disease;Neurological;0
784;Cafe-au-lait spots;;disease;Cancer;0
785;Muir-Torre syndrome;;disease;Cancer;0
793;Roussy-Levy syndrome;;disease;Multiple;0
797;Hypodontia;;disease;Skeletal;0
799;Parietal foramina;;disease;Skeletal;0
814;Central core disease;;disease;Muscular;0
815;Carney complex;;disease;Multiple;0
838;Neuroblastoma;;disease;Cancer;0
853;Medullary thyroid carcinoma;;disease;Cancer;0
858;Optic atrophy;;disease;Ophthamological;0
873;Coloboma, ocular;;disease;Ophthamological;0
930;Hyperprolinemia;;disease;Metabolic;0
963;Rh-negative blood type;;disease;Hematological;0
982;Liddle syndrome;;disease;Renal;0
1048;Goiter;;disease;Endocrine;0
1050;Loeys-Dietz syndrome;;disease;Connective tissue disorder;0
1053;Thyroid hormone resistance;;disease;Endocrine;0
1061;Sepsis;;disease;Immunological;0
1067;Li-Fraumeni syndrome;;disease;Cancer;0
1070;Osteosarcoma;;disease;Cancer;0
1145;Medulloblastoma;;disease;Cancer;0
1245;Asperger syndrome;;disease;Psychiatric;0
39;Tangier disease;;disease;Metabolic;0
62;Adenosine deaminase deficiency;;disease;Immunological;0
69;Beta-2-adrenoreceptor agonist, reduced response to;;disease;Unclassified;0
76;Leanness, inherited;;disease;Nutritional;0
77;Alagille syndrome;;disease;Multiple;0
98;Atherosclerosis;;disease;Cardiovascular;0
112;Adenoma, periampullary;;disease;Cancer;0
115;Desmoid disease, hereditary;;disease;Cancer;0
116;Gardner syndrome;;disease;Cancer;0
124;Hypoalphalipoproteinemia;;disease;Metabolic;0
127;Hypobetalipoproteinemia;;disease;Metabolic;0
129;Sea-blue histiocyte disease;;disease;Hematological;0
134;Aquaporin-1 deficiency;;disease;Unclassified;0
136;Androgen insensitivity;;disease;Endocrine;0
138;Perineal hypospadias;;disease;Endocrine;0
147;Placental steroid sulfatase deciency;;disease;Metabolic;0
157;Alternating hemiplegia of childhood;;disease;Neurological;0
166;Menkes disease;;disease;Neurological;0
167;Occipital horn syndrome;;disease;Multiple;0
184;GRACILE syndrome;;disease;Metabolic;0
188;Memory impairment;;disease;Neurological;0
198;Papillary serous carcinoma of the peritoneum;;disease;Cancer;0
212;Hemiplegic migraine, familial;;disease;Neurological;0
218;Thyrotoxic periodic paralysis;;disease;Endocrine;0
225;Non-Hodgkin lymphoma;;disease;Cancer;0
228;Hypocalcemia;;disease;Endocrine;0
229;Hypocalciuric hypercalcemia;;disease;Endocrine;0
231;Creatine phosphokinase;;disease;Metabolic;0
232;Rippling muscle disease;;disease;Muscular;0
249;Listeria monocytogenes;;disease;Immunological;0
252;Li Fraumeni syndrome;;disease;Cancer;0
253;Orolaryngeal cancer;;disease;Cancer;0
283;Caffey disease;;disease;Connective tissue disorder;0
284;Dissection of cervical arteries;;disease;Connective tissue disorder;0
288;Achondrogenesis-hypochondrogenesis, type II;;disease;Bone;0
289;Kniest dysplasia;;disease;Skeletal;0
291;SMED Strudwick type;;disease;Skeletal;0
293;Wagner syndrome;;disease;Ophthamological;0
294;Aneurysm, familial arterial;;disease;Unclassified;0
301;EBD;;disease;Dermatological;0
303;Toenail dystrophy, isolated;;disease;Dermatological;0
304;Transient bullous of the newborn;;disease;Dermatological;0
305;Fuchs endothelial corneal dystrophy;;disease;Ophthamological;0
310;Marshall syndrome;;disease;Multiple;0
311;OSMED syndrome;;disease;Bone;0
312;Weissenbacher-Zweymuller syndrome;;disease;Connective tissue disorder;0
313;Pseudoachondroplasia;;disease;Skeletal;0
316;Hemosiderosis, systemic, due to aceruloplasminemia;;disease;Hematological;0
317;Hypoceruloplasminemia;;disease;Metabolic;0
334;Pilomatricoma;;disease;Cancer;0
342;Coumarin resistance;;disease;Hematological;0
363;Dopamine beta-hydroxylase deciency;;disease;Metabolic;0
365;Angiotensin I-converting enzyme;;disease;Endocrine;0
366;SARS, progression of;;disease;Immunological;0
368;Lower motor neuron disease, progressive, without sensory symptoms;;disease;Neurological;0
374;Jensen syndrome;;disease;Neurological;0
375;Mohr-Tranebjaerg syndrome;;disease;Neurological;0
376;Meniere disease;;disease;Neurological;0
380;Benzene toxicity;;disease;Unclassified;0
386;Duchenne muscular dystrophy;;disease;Muscular;0
403;Dilated cardiomyopathy with woolly hair and keratoderma;;disease;Multiple;0
404;Skin fragility-woolly hair syndrome;;disease;Dermatological;0
405;Dentin dysplasia, type II;;disease;Bone;0
406;Dentinogenesis imperfecta, Shields type;;disease;Bone;0
407;Achondrogenesis Ib;;disease;Bone;0
409;Diastrophic dysplasia;;disease;Skeletal;0
415;Shah-Waardenburg syndrome;;disease;Multiple;0
416;ABCD syndrome;;disease;Multiple;0
422;Hematopoiesis, cyclic;;disease;Hematological;0
424;Supravalvar aortic stenosis;;disease;Cardiovascular;0
425;Williams-Beuren syndrome;;disease;Multiple;0
434;Estrogen resistance;;disease;Endocrine;0
442;Branchiootic syndrome;;disease;Neurological;0
453;Aortic aneurysm;;disease;Cardiovascular;0
455;MASS syndrome;;disease;Connective tissue disorder;0
456;Shprintzen-Goldberg syndrome;;disease;Multiple;0
468;Aarskog-Scott syndrome;;disease;Multiple;0
473;Achondroplasia;;disease;Skeletal;0
475;Cervical carcinoma;;disease;Cancer;0
477;Hypochondroplasia;;disease;Skeletal;0
478;Muenke syndrome;;disease;Skeletal;0
479;Thanatophoric dysplasia, types I and II;;disease;Skeletal;0
480;Apert syndrome;;disease;Connective tissue disorder;0
481;Beare-Stevenson cutis gyrata syndrome;;disease;Multiple;0
482;Craniofacial-skeletal-dermatologic dysplasia;;disease;Multiple;0
486;Hypofibrinogenemia;;disease;Hematological;0
490;Axenfeld anomaly;;disease;Ophthamological;0
492;Iris hypoplasia and glaucoma;;disease;Ophthamological;0
502;Larson syndrome;;disease;Skeletal;0
503;Spondylocarpotarsal synostosis syndrome;;disease;Skeletal;0
523;Favism;;disease;Metabolic;0
524;G6PD deficiency;;disease;Metabolic;0
535;Dyserythropoietic anemia;;disease;Hematological;0
536;Macrothrombocytopenia;;disease;Hematological;0
540;Hyperinsulinism;;disease;Metabolic;0
542;Adult i phenotype;;disease;Hematological;0
552;Hypoplastic left heart syndrome;;disease;Cardiovascular;0
553;Oculodentodigital dysplasia;;disease;Skeletal;0
554;Syndactyly;;disease;Skeletal;0
555;Bart-Pumphrey syndrome;;disease;Multiple;0
556;Hystrix-like ichthyosis with deafness;;disease;Multiple;0
557;Keratitis-ichthyosis-deafness syndrome;;disease;Multiple;0
558;Keratoderma, palmoplantar, with deafness;;disease;Dermatological;0
563;Simpson-Golabi-Behmel syndrome;;disease;Multiple;0
576;McCune-Albright syndrome;;disease;Multiple;0
577;Osseous heteroplasia;;disease;Bone;0
578;Pseudohypoparathyroidism;;disease;Endocrine;0
579;Somatotrophinoma;;disease;Endocrine;0
585;Glutathione synthetase deciency;;disease;Metabolic;0
605;Sandho disease, infantile, juvenile, and adult forms;;disease;Metabolic;0
606;Hemolytic-uremic syndrome;;disease;Hematological;0
608;Nephropathy-hypertension;;disease;Renal;0
627;Vertical talus;;disease;Skeletal;0
633;Costello syndrome;;disease;Multiple;0
637;Apparent mineralocorticoid excess, hypertension due to;;disease;Bone;0
643;Alcohol dependence;;disease;Unclassified;0
644;Anorexia nervosa;;disease;Nutritional;0
645;Seasonal affective disorder;;disease;Psychiatric;0
663;Graft-versus-host disease;;disease;Immunological;0
664;Allergic rhinitis;;disease;Immunological;0
665;Hyperproinsulinemia;;disease;Endocrine;0
667;Leprechaunism;;disease;Developmental;0
668;Rabson-Mendenhall syndrome;;disease;Multiple;0
669;Pancreatic agenesis;;disease;Gastrointestinal;0
670;Macrocytic anemia;;disease;Hematological;0
680;Myelofibrosis, idiopathic;;disease;Hematological;0
686;Acquired long QT syndrome;;disease;Cardiovascular;0
687;Persistent hyperinsulinemic hypoglycemia of infancy;;disease;Metabolic;0
689;Myokymia with neonatal epilepsy;;disease;Neurological;0
693;Mast cell leukemia;;disease;Cancer;0
694;Mastocytosis with associated hematologic disorder;;disease;Immunological;0
695;Piebaldism;;disease;Dermatological;0
701;Stomach cancer;;disease;Cancer;0
702;Cyclic ichthyosis with epidermolytic hyperkeratosis;;disease;Dermatological;0
704;Unna-Thost disease, nonepidermolytic;;disease;Dermatological;0
709;Nevus, epidermal, epidermolytic hyperkeratotic type;;disease;Dermatological;0
716;Laryngoonychocutaneous syndrome;;disease;Multiple;0
743;Bone mineral density variability;;disease;Bone;0
745;Hyperostosis, endosteal;;disease;Bone;0
746;Osteoporosis-pseudoglioma syndrome;;disease;Bone;0
747;van Buchem disease;;disease;Unclassified;0
748;Juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome;;disease;Cancer;0
752;Pallidopontonigral degeneration;;disease;Neurological;0
753;Supranuclear palsy;;disease;Neurological;0
754;Tauopathy and respiratory failure;;disease;Neurological;0
766;PPM-X syndrome;;disease;Neurological;0
769;Adrenal adenoma;;disease;Cancer;0
770;Angiofibroma, sporadic;;disease;Endocrine;0
771;Carcinoid tumor of lung;;disease;Cancer;0
774;Prolactinoma, hyperparathyroidism, carcinoid syndrome;;disease;Endocrine;0
781;Tietz syndrome;;disease;Multiple;0
792;Myeloperoxidase deficiency;;disease;Immunological;0
794;Lynch cancer family syndrome II;;disease;Cancer;0
798;Witkop syndrome;;disease;Developmental;0
810;Neurofibrosarcoma;;disease;Cancer;0
816;Trismus-pseudocomptodactyly syndrome;;disease;Multiple;0
817;Epstein syndrome;;disease;Hematological;0
818;Fechtner syndrome;;disease;Multiple;0
819;May-Hegglin anomaly;;disease;Hematological;0
820;Sebastian syndrome;;disease;Hematological;0
826;Nijmegen breakage syndrome;;disease;Multiple;0
828;Coats disease;;disease;Ophthamological;0
829;Norrie disease;;disease;Neurological;0
833;Neurofibromatosis;;disease;Cancer;0
834;Neurobromatosis-Noonan syndrome;;disease;Cancer;0
835;Watson syndrome;;disease;Cancer;0
836;Schwannomatosis;;disease;Cancer;0
841;Coronary spasms;;disease;Cardiovascular;0
842;Placental abruption;;disease;Unclassified;0
852;Insensitivity to pain;;disease;Neurological;0
868;Leprosy;;disease;Immunological;0
871;Craniofacial-deafness-hand syndrome;;disease;Multiple;0
872;Aniridia, type II;;disease;Ophthamological;0
874;Eye anomalies;;disease;Ophthamological;0
875;Foveal hypoplasia;;disease;Ophthamological;0
876;Keratitis;;disease;Ophthamological;0
877;Morning glory disc anomaly;;disease;Skeletal;0
878;Optic nerve hypoplasia/aplasia;;disease;Ophthamological;0
879;Oligodontia;;disease;Skeletal;0
882;Dermatobrosarcoma protuberans;;disease;Cancer;0
883;Giant-cell fibroblastoma;;disease;Cancer;0
884;Hypereosinophilic syndrome;;disease;Hematological;0
887;Ossication of the posterior longitudinal spinal ligaments;;disease;Connective tissue disorder;0
888;Enlarged vestibular aqueduct;;disease;Ear,Nose,Throat;0
889;Pendred syndrome;;disease;Ear,Nose,Throat;0
897;Myoglobinuria/hemolysis due to PGK deciency;;disease;Metabolic;0
902;Emphysema;;disease;Respiratory;0
904;Ring dermoid of cornea;;disease;Ophthamological;0
909;Nevo syndrome;;disease;Connective tissue disorder;0
911;Pelizaeus-Merzbacher disease;;disease;Neurological;0
912;Neuroectodermal tumors;;disease;Multiple;0
923;Adrenocortical carcinoma;;disease;Cancer;0
924;Myxoma, intracardiac;;disease;Cardiovascular;0
925;Pigmented adrenocortical disease, primary isolated;;disease;Cancer;0
928;Gerstmann-Straussler disease;;disease;Neurological;0
929;Prion disease with protracted course;;disease;Neurological;0
935;Pick disease;;disease;Neurological;0
939;Basal cell nevus syndrome;;disease;Multiple;0
941;Bannayan-Riley-Ruvalcaba syndrome;;disease;Unclassified;0
942;Lhermitte-Duclos syndrome;;disease;Cancer;0
943;Oligodendroglioma;;disease;Cancer;0
944;VATER association with hydrocephalus;;disease;Multiple;0
947;Leopard syndrome;;disease;Multiple;0
948;Noonan syndrome;;disease;Developmental;0
949;Zlotogora-Ogur syndrome;;disease;Multiple;0
954;Capillary malformations;;disease;Cardiovascular;0
955;Parkes Weber syndrome;;disease;Multiple;0
956;Retinoblastoma;;disease;Cancer;0
958;Butterfly dystrophy, retinal;;disease;Ophthamological;0
959;Foveomacular dystrophy, adult-onset, with choroidal neovascularization;;disease;Ophthamological;0
960;Hyperproreninemia;;disease;Cardiovascular;0
961;Colonic aganglionosis, total, with small bowel involvement;;disease;Gastrointestinal;0
962;Rh-mod syndrome;;disease;Hematological;0
965;Bothnia retinal dystrophy;;disease;Ophthamological;0
966;Newfoundland rod-cone dystrophy;;disease;Ophthamological;0
969;Coffin-Lowry syndrome;;disease;Multiple;0
974;Cramps, potassium-aggravated;;disease;Muscular;0
975;Hyperkalemic periodic paralysis;;disease;Neurological;0
976;Paramyotonia congenita;;disease;Muscular;0
977;Brugada syndrome;;disease;Cardiovascular;0
978;Heart block;;disease;Cardiovascular;0
979;Sick sinus syndrome;;disease;Cardiovascular;0
980;Ventricular brillation, idiopathic;;disease;Cardiovascular;0
986;Carcinoid tumors, intestinal;;disease;Cancer;0
987;Merkel cell carcinoma;;disease;Cancer;0
991;Solitary median maxillary central incisor;;disease;Skeletal;0
996;Fanconi-Bickel syndrome;;disease;Metabolic;0
1002;Anxiety-related personality traits;;disease;Psychiatric;0
1003;Creatine deciency syndrome, X-linked;;disease;Neurological;0
1012;Infundibular hypoplasia and hypopituitarism;;disease;Endocrine;0
1015;PCWH;;disease;Neurological;0
1016;Yemenite deaf-blind hypopigmentation syndrome;;disease;Multiple;0
1020;Pyropoikilocytosis;;disease;Hematological;0
1025;Peutz-Jeghers syndrome;;disease;Cancer;0
1027;Hypoglycemia;;disease;Metabolic;0
1029;Wegener granulomatosis;;disease;Immunological;0
1033;Barth syndrome;;disease;Multiple;0
1034;Noncompaction of left ventricular myocardium;;disease;Cardiovascular;0
1040;Glomerulocystic kidney disease, hypoplastic;;disease;Renal;0
1047;Autoimmune thyroid disease;;disease;Endocrine;0
1051;Self-healing collodion baby;;disease;Dermatological;0
1065;Adrenal cortical carcinoma;;disease;Cancer;0
1066;Histiocytoma;;disease;Cancer;0
1068;Multiple malignancy syndrome;;disease;Cancer;0
1069;Nasopharyngeal carcinoma;;disease;Cancer;0
1072;Hyperthyroidism;;disease;Endocrine;0
1073;Total iodide organication defect;;disease;Endocrine;0
1078;Hyperthroidism;;disease;Endocrine;0
1080;Amyloid neuropathy;;disease;Neurological;0
1081;Carpal tunnel syndrome, familial;;disease;Unclassified;0
1082;Dystransthyretinemic hyperthyroxinemia;;disease;Hematological;0
1089;Hemangioblastoma, cerebellar;;disease;Cancer;0
1091;Maculopathy, bull's-eye;;disease;Ophthamological;0
1092;Vitelliform macular dystrophy;;disease;Ophthamological;0
1094;Wiskott-Aldrich syndrome;;disease;Immunological;0
1099;Denys-Drash syndrome;;disease;Renal;0
1100;Frasier syndrome;;disease;Multiple;0
1101;Mesangial sclerosis;;disease;Renal;0
1102;WAGR syndrome;;disease;Multiple;0
1120;Salivary adenoma;;disease;Cancer;0
1121;Uterine leiomyoma;;disease;Cancer;0
1130;Miyoshi myopathy;;disease;Muscular;0
1132;Oligodontia-colorectal cancer syndrome;;disease;Cancer;0
1136;Incontinentia pigmenti;;disease;Dermatological;0
1148;Arthropathy;;disease;Bone;0
1152;Mesothelioma;;disease;Cancer;0
1153;Sezary syndrome;;disease;Cancer;0
1174;Myotilinopathy;;disease;Muscular;0
1181;Enhanced S-cone syndrome;;disease;Ophthamological;0
1198;Netherton syndrome;;disease;Dermatological;0
1208;Pigmented paravenous chorioretinal atrophy;;disease;Ophthamological;0
1221;Silver spastic paraplegia syndrome;;disease;Neurological;0
1227;Craniofacial anomalies, empty sella turcica, corneal endothelial changes;;disease;Multiple;0
1228;Keratoconus;;disease;Ophthamological;0
1232;Immunodysregulation, polyendocrinopathy, and enteropathy, X-linked;;disease;Multiple;0
1238;IgE levels QTL;;disease;Immunological;0
1242;Wolff-Parkinson-White syndrome;;disease;Cardiovascular;0
1270;Primary lateral sclerosis;;disease;Neurological;0
1285;3-methylglutaconicaciduria;;disease;Metabolic;0
1289;Convulsions;;disease;Neurological;0
1303;Infantile spasm syndrome;;disease;Neurological;0
1304;Partington syndrome;;disease;Neurological;0
1305;Proud syndrome;;disease;Multiple;0
1306;Birt-Hogg-Dube syndrome;;disease;Dermatological;0
1307;Pneumothorax, primary spontaneous;;disease;Respiratory;0
1329;MTP;;gene;gene;0
1338;CNGA3;;gene;gene;0
1339;GNAT2;;gene;gene;0
1348;SSTR5;;gene;gene;0
1361;PLAG1;;gene;gene;0
1394;OCA2;;gene;gene;0
1396;TYRP1;;gene;gene;0
1402;GFAP;;gene;gene;0
1420;A2M;;gene;gene;0
1421;APBB2;;gene;gene;0
1424;BLMH;;gene;gene;0
1428;PLAU;;gene;gene;0
1430;PSEN2;;gene;gene;0
1431;PAXIP1;;gene;gene;0
1442;GSN;;gene;gene;0
1443;LYZ;;gene;gene;0
1446;NEFH;;gene;gene;0
1447;PRPH;;gene;gene;0
1448;SOD1;;gene;gene;0
1455;ABCB7;;gene;gene;0
1456;ALAS2;;gene;gene;0
1457;SLC11A2;;gene;gene;0
1458;PKLR;;gene;gene;0
1460;RPS19;;gene;gene;0
1462;NT5C3;;gene;gene;0
1463;CDAN1;;gene;gene;0
1465;UBE3A;;gene;gene;0
1477;FOXE3;;gene;gene;0
1491;APOC3;;gene;gene;0
1492;APOH;;gene;gene;0
1501;PKP2;;gene;gene;0
1512;MS4A2;;gene;gene;0
1513;HNMT;;gene;gene;0
1514;IL12B;;gene;gene;0
1515;IL13;;gene;gene;0
1516;PTGDR;;gene;gene;0
1518;SCGB1A1;;gene;gene;0
1521;SCGB3A2;;gene;gene;0
1522;GPR154;;gene;gene;0
1524;TTPA;;gene;gene;0
1525;ALS4;;gene;gene;0
1526;APTX;;gene;gene;0
1527;ATCAY;;gene;gene;0
